"Total Residential Sales In And Out Of Priority Funding Areas For Maryland's Jurisdictions, 2017-2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sales,,,,,,,,INPFA,,,,,,,,OUTPFA,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024
,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total 
Jurisdictions,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales
Howard County,"$434,750","$441,000","$435,000","$450,000","$495,000","$525,000","$550,000","$606,500","$406,934","$415,000","$402,500","$419,900","$450,000","$480,000","$505,000","$550,000","$730,000 ","$760,000 ","$775,000 ","$740,000 ","$899,450 ","$1,000,000 ","$975,000 ","$1,075,000 "
Baltimore City,"$200,000","$197,000","$181,000","$177,000","$230,000","$235,000","$237,000","$240,000","$200,000","$197,000","$181,000","$177,000","$230,000","$235,000","$237,000","$240,000",---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON SUBURBAN REGION,"$355,000","$365,000","$378,513","$400,000","$439,900","$460,000","$480,000","$502,000","$340,000","$352,000","$366,760","$385,000","$425,000","$449,900","$465,000","$489,000","$479,000 ","$494,900 ","$480,000 ","$520,000 ","$610,000 ","$650,000 ","$636,000 ","$670,770 "
Frederick County,"$306,000","$331,000","$345,398","$360,000","$415,000","$453,995","$461,995","$474,900","$289,900","$313,773","$330,740","$345,000","$397,975","$440,000","$449,240","$450,000","$369,950 ","$400,000 ","$400,000 ","$430,000 ","$500,000 ","$555,500 ","$550,000 ","$578,000 "
Montgomery County,"$434,000","$450,000","$460,000","$482,000","$535,000","$550,140","$578,015","$604,801","$422,000","$438,000","$448,000","$465,000","$516,000","$535,000","$560,000","$585,000","$690,000 ","$675,000 ","$680,000 ","$719,000 ","$825,000 ","$925,000 ","$920,000 ","$985,000 "
Prince George's County,"$303,500","$315,000","$335,000","$360,888","$385,000","$407,200","$425,000","$440,000","$295,000","$305,000","$324,000","$350,000","$375,000","$400,000","$417,750","$430,000","$449,900 ","$459,935 ","$449,000 ","$479,155 ","$570,795 ","$585,000 ","$580,000 ","$553,000 "
,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN MARYLAND REGION,"$315,000","$315,000","$320,000","$345,000","$370,000","$400,000","$410,000","$429,290","$285,000","$284,000","$295,000","$317,500","$340,000","$372,500","$379,880","$399,990","$375,000 ","$384,990 ","$385,000 ","$408,275 ","$450,000 ","$499,939 ","$495,000 ","$507,000 "
Calvert County,"$339,900","$350,000","$350,750","$365,000","$390,000","$415,000","$425,000","$451,000","$267,000","$270,000","$278,000","$300,000","$322,000","$350,000","$353,780","$382,000","$410,000 ","$435,000 ","$435,000 ","$465,000 ","$498,000 ","$550,000 ","$575,000 ","$570,000 "
